DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Total"
"110002 ARIQUEMES";1;1;-;-;1;-;-;-;2;-;1;-;-;6
"110004 CACOAL";3;-;1;2;-;-;-;1;-;-;-;-;-;7
"110007 CORUMBIARA";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"110010 GUAJARA-MIRIM";1;-;2;2;1;1;1;-;-;-;-;-;-;8
"110011 JARU";1;-;-;1;1;1;3;3;3;2;-;-;-;15
"110012 JI-PARANA";1;-;-;-;-;-;-;-;-;1;-;-;-;2
"110013 MACHADINHO D'OESTE";-;-;-;1;1;-;-;-;3;1;1;-;-;7
"110015 OURO PRETO DO OESTE";-;1;-;1;-;-;-;-;-;-;1;-;-;3
"110020 PORTO VELHO";-;2;1;3;3;2;3;2;3;1;-;-;-;20
"110026 RIO CRESPO";-;-;-;-;-;4;-;1;3;1;-;-;-;9
"110028 ROLIM DE MOURA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110030 VILHENA";1;1;-;-;-;-;1;-;-;-;2;-;-;5
"110032 SAO MIGUEL DO GUAPORE";4;-;2;-;-;-;-;1;2;3;-;-;-;12
"110034 ALVORADA D'OESTE";-;1;-;2;-;-;-;-;-;-;-;-;-;3
"110050 NOVO HORIZONTE DO OESTE";-;-;1;-;-;-;1;-;-;-;-;-;-;2
"110060 CACAULANDIA";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"110092 CHUPINGUAIA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110094 CUJUBIM";-;-;-;2;-;-;-;1;-;-;-;-;-;3
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;-;2;-;2;-;-;-;-;-;5
"110110 ITAPUA DO OESTE";-;-;-;-;-;-;-;-;1;1;1;-;-;3
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"110140 MONTE NEGRO";2;1;-;-;1;-;-;-;-;-;-;-;-;4
"110145 PARECIS";-;-;-;2;4;12;9;8;6;6;2;-;-;49
"110148 SAO FELIPE D'OESTE";1;1;2;-;4;4;3;2;-;5;2;-;-;24
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110150 SERINGUEIRAS";-;-;-;-;1;-;-;-;-;3;1;-;-;5
"110175 VALE DO ANARI";-;-;-;-;1;-;3;1;3;1;1;-;1;11
"110180 VALE DO PARAISO";1;-;-;-;-;-;-;-;-;-;-;-;-;1
"120005 ASSIS BRASIL";-;1;-;-;-;-;-;2;1;4;4;-;-;12
"120010 BRASILEIA";1;-;-;2;-;1;1;2;-;1;-;-;-;8
"120020 CRUZEIRO DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"120025 EPITACIOLANDIA";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"120030 FEIJO";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;1;6;1;3;1;4;1;-;2;2;2;23
"120039 PORTO WALTER";2;-;-;-;-;-;-;-;-;-;-;-;-;2
"120040 RIO BRANCO";3;-;-;1;7;8;13;8;-;-;-;2;-;42
"120042 RODRIGUES ALVES";-;-;-;-;2;-;-;1;2;-;-;-;-;5
"120045 SENADOR GUIOMARD";-;-;-;1;2;-;-;-;-;-;-;-;-;3
"120050 SENA MADUREIRA";3;3;2;-;2;-;-;3;1;4;-;-;-;18
"120080 PORTO ACRE";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;-;2;-;-;-;-;-;-;1;-;-;-;3
"130030 AUTAZES";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130060 BENJAMIN CONSTANT";-;-;-;-;-;1;-;1;3;7;5;-;-;17
"130070 BOCA DO ACRE";5;3;8;-;3;-;-;1;-;1;-;-;-;21
"130080 BORBA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130100 CARAUARI";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"130130 CODAJAS";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130140 EIRUNEPE";7;2;3;5;14;15;7;5;10;26;29;8;2;133
"130150 ENVIRA";3;6;1;7;12;11;8;2;2;1;2;-;-;55
"130165 GUAJARA";5;2;2;1;1;-;1;2;3;2;3;-;-;22
"130170 HUMAITA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130180 IPIXUNA";-;-;2;-;-;-;-;1;-;-;-;-;-;3
"130185 IRANDUBA";1;-;-;-;-;-;-;-;-;-;-;1;-;2
"130190 ITACOATIARA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130210 JAPURA";-;-;-;-;-;-;-;-;2;-;-;-;-;2
"130220 JURUA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"130250 MANACAPURU";-;-;-;-;-;-;1;-;-;-;1;1;-;3
